%%MatrixMarket matrix coordinate real general
%-------------------------------------------------------------------------------
% UF Sparse Matrix Collection, Tim Davis
% http://www.cise.ufl.edu/research/sparse/matrices/Bai/dwa512
% name: Bai/dwa512
% [SQUARE DIELECTRIC WAVEGUIDE, H. DONG]
% id: 1616
% date: 1993
% author: H. Dong
% ed: Z. Bai, D. Day, J. Demmel, J. Dongarra
% fields: name title A id date author ed kind
% kind: electromagnetics problem
%-------------------------------------------------------------------------------
512 512 2480
1 1 .066548632875372
2 1 .002792307308737
17 1 .002792307308737
1 2 .002792307308737
2 2 .062307136537207
3 2 .0081273986713854
18 2 .002792307308737
2 3 .0081273986713854
3 3 .039608954369245
4 3 .028321681736464
19 3 .002792307308737
3 4 .028321681736464
4 4 -.039487779696554
5 4 .098693036826855
20 4 .002792307308737
4 5 .098693036826855
5 5 -.31511748843625
6 5 .30136391034561
21 5 .002792307308737
5 6 .30136391034561
6 6 -.65016412081964
7 6 .36080318809611
22 6 .002792307308737
6 7 .36080318809611
7 7 -.65016412081964
8 7 .36080318809611
23 7 .002792307308737
7 8 .36080318809611
8 8 -.65016412081964
9 8 .36080318809611
24 8 .002792307308737
8 9 .36080318809611
9 9 -.65016412081964
10 9 .36080318809611
25 9 .002792307308737
9 10 .36080318809611
10 10 -.65016412081964
11 10 .36080318809611
26 10 .002792307308737
10 11 .36080318809611
11 11 -.65016412081964
12 11 .30136391034561
27 11 .002792307308737
11 12 .30136391034561
12 12 -.31511748843625
13 12 .098693036826855
28 12 .002792307308737
12 13 .098693036826855
13 13 -.039487779696554
14 13 .028321681736464
29 13 .002792307308737
13 14 .028321681736464
14 14 .039608954369245
15 14 .0081273986713854
30 14 .002792307308737
14 15 .0081273986713854
15 15 .062307136537207
16 15 .002792307308737
31 15 .002792307308737
15 16 .002792307308737
16 16 .066548632875372
32 16 .002792307308737
1 17 .002792307308737
17 17 .062307136537207
18 17 .002792307308737
33 17 .0081273986713854
2 18 .002792307308737
17 18 .002792307308737
18 18 .058065640199043
19 18 .0081273986713854
34 18 .0081273986713854
3 19 .002792307308737
18 19 .0081273986713854
19 19 .035367458031081
20 19 .028321681736464
35 19 .0081273986713854
4 20 .002792307308737
19 20 .028321681736464
20 20 -.043729276034719
21 20 .098693036826855
36 20 .0081273986713854
5 21 .002792307308737
20 21 .098693036826855
21 21 -.31935898477441
22 21 .30136391034561
37 21 .0081273986713854
6 22 .002792307308737
21 22 .30136391034561
22 22 -.6544056171578
23 22 .36080318809611
38 22 .0081273986713854
7 23 .002792307308737
22 23 .36080318809611
23 23 -.6544056171578
24 23 .36080318809611
39 23 .0081273986713854
8 24 .002792307308737
23 24 .36080318809611
24 24 -.6544056171578
25 24 .36080318809611
40 24 .0081273986713854
9 25 .002792307308737
24 25 .36080318809611
25 25 -.6544056171578
26 25 .36080318809611
41 25 .0081273986713854
10 26 .002792307308737
25 26 .36080318809611
26 26 -.6544056171578
27 26 .36080318809611
42 26 .0081273986713854
11 27 .002792307308737
26 27 .36080318809611
27 27 -.6544056171578
28 27 .30136391034561
43 27 .0081273986713854
12 28 .002792307308737
27 28 .30136391034561
28 28 -.31935898477441
29 28 .098693036826855
44 28 .0081273986713854
13 29 .002792307308737
28 29 .098693036826855
29 29 -.043729276034719
30 29 .028321681736464
45 29 .0081273986713854
14 30 .002792307308737
29 30 .028321681736464
30 30 .035367458031081
31 30 .0081273986713854
46 30 .0081273986713854
15 31 .002792307308737
30 31 .0081273986713854
31 31 .058065640199043
32 31 .002792307308737
47 31 .0081273986713854
16 32 .002792307308737
31 32 .002792307308737
32 32 .062307136537207
48 32 .0081273986713854
17 33 .0081273986713854
33 33 .039608954369245
34 33 .002792307308737
49 33 .028321681736464
18 34 .0081273986713854
33 34 .002792307308737
34 34 .035367458031081
35 34 .0081273986713854
50 34 .028321681736464
19 35 .0081273986713854
34 35 .0081273986713854
35 35 .012669275863119
36 35 .028321681736464
51 35 .028321681736464
20 36 .0081273986713854
35 36 .028321681736464
36 36 -.066427458202681
37 36 .098693036826855
52 36 .028321681736464
21 37 .0081273986713854
36 37 .098693036826855
37 37 -.34205716694237
38 37 .30136391034561
53 37 .028321681736464
22 38 .0081273986713854
37 38 .30136391034561
38 38 -.67710379932577
39 38 .36080318809611
54 38 .028321681736464
23 39 .0081273986713854
38 39 .36080318809611
39 39 -.67710379932577
40 39 .36080318809611
55 39 .028321681736464
24 40 .0081273986713854
39 40 .36080318809611
40 40 -.67710379932577
41 40 .36080318809611
56 40 .028321681736464
25 41 .0081273986713854
40 41 .36080318809611
41 41 -.67710379932577
42 41 .36080318809611
57 41 .028321681736464
26 42 .0081273986713854
41 42 .36080318809611
42 42 -.67710379932577
43 42 .36080318809611
58 42 .028321681736464
27 43 .0081273986713854
42 43 .36080318809611
43 43 -.67710379932577
44 43 .30136391034561
59 43 .028321681736464
28 44 .0081273986713854
43 44 .30136391034561
44 44 -.34205716694237
45 44 .098693036826855
60 44 .028321681736464
29 45 .0081273986713854
44 45 .098693036826855
45 45 -.066427458202681
46 45 .028321681736464
61 45 .028321681736464
30 46 .0081273986713854
45 46 .028321681736464
46 46 .012669275863119
47 46 .0081273986713854
62 46 .028321681736464
31 47 .0081273986713854
46 47 .0081273986713854
47 47 .035367458031081
48 47 .002792307308737
63 47 .028321681736464
32 48 .0081273986713854
47 48 .002792307308737
48 48 .039608954369245
64 48 .028321681736464
33 49 .028321681736464
49 49 -.039487779696554
50 49 .002792307308737
65 49 .098693036826855
34 50 .028321681736464
49 50 .002792307308737
50 50 -.043729276034719
51 50 .0081273986713854
66 50 .098693036826855
35 51 .028321681736464
50 51 .0081273986713854
51 51 -.066427458202681
52 51 .028321681736464
67 51 .098693036826855
36 52 .028321681736464
51 52 .028321681736464
52 52 -.14552419226848
53 52 .098693036826855
68 52 .098693036826855
37 53 .028321681736464
52 53 .098693036826855
53 53 -.42115390100817
54 53 .30136391034561
69 53 .098693036826855
38 54 .028321681736464
53 54 .30136391034561
54 54 -.75620053339157
55 54 .36080318809611
70 54 .098693036826855
39 55 .028321681736464
54 55 .36080318809611
55 55 -.75620053339157
56 55 .36080318809611
71 55 .098693036826855
40 56 .028321681736464
55 56 .36080318809611
56 56 -.75620053339157
57 56 .36080318809611
72 56 .098693036826855
41 57 .028321681736464
56 57 .36080318809611
57 57 -.75620053339157
58 57 .36080318809611
73 57 .098693036826855
42 58 .028321681736464
57 58 .36080318809611
58 58 -.75620053339157
59 58 .36080318809611
74 58 .098693036826855
43 59 .028321681736464
58 59 .36080318809611
59 59 -.75620053339157
60 59 .30136391034561
75 59 .098693036826855
44 60 .028321681736464
59 60 .30136391034561
60 60 -.42115390100817
61 60 .098693036826855
76 60 .098693036826855
45 61 .028321681736464
60 61 .098693036826855
61 61 -.14552419226848
62 61 .028321681736464
